data,pib,ln_pib,crescimento_pib
2007-06-30,248561.0145,12.423443625568094,1.7108788183826107
2007-09-30,251125.0904,12.43370646209726,1.0262836529166819
2007-12-31,254872.3647,12.448518168245078,1.481170614781746
2008-03-31,258077.6945,12.46101596004263,1.2497791797551727
2008-06-30,263368.163,12.481308191585871,2.0292231543241
2008-09-30,267624.7433,12.49734106671357,1.6032875127699242
2008-12-31,257530.4078,12.458893080657713,-3.8447986055857086
2009-03-31,253845.5989,12.444481482821267,-1.4411597836446077
2009-06-30,258527.3492,12.46275676694739,1.827528412612267
2009-09-30,264557.0735,12.485812285831566,2.3055518884175896
2009-12-31,271382.0918,12.511283039681144,2.5470753849578642
2010-03-31,276989.9508,12.531736505811027,2.045346612988297
2010-06-30,280521.8676,12.544406960264505,1.2670454453477475
2010-09-30,282976.4033,12.553118792583652,0.871183231914685
2010-12-31,287034.1228,12.567356382447853,1.4237589864201539
2011-03-31,290890.776,12.580703135489678,1.3346753041824755
2011-06-30,293830.9895,12.590760015375952,1.0056879886274572
2011-09-30,293158.2931,12.588467991605043,-0.22920237709094238
2011-12-31,295901.2066,12.597780916108949,0.9312924503905862
2012-03-31,291614.7618,12.583188901292106,-1.4592014816843246
2012-06-30,296887.1071,12.601107234750014,1.7918333457908275
2012-09-30,302046.7585,12.61833711384236,1.7229879092345968
2012-12-31,302083.6747,12.618459326523652,0.012221268129231078
2013-03-31,303702.1649,12.623802779424633,0.5343452900980594
2013-06-30,307922.6307,12.637603831373978,1.3801051949345222
2013-09-30,309351.104,12.642232169726,0.46283383520222543
2013-12-31,309850.8637,12.64384637586418,0.16142061381803074
2014-03-31,312485.3831,12.652312972984651,0.8466597120470709
2014-06-30,307852.4057,12.637375744828882,-1.4937228155769589
2014-09-30,307664.6513,12.636765674307885,-0.06100705209970414
2014-12-31,309273.8573,12.64198243295418,0.5216758646295006
2015-03-31,306871.69,12.634184991322039,-0.7797441632140689
2015-06-30,299599.8595,12.61020306166648,-2.3981929655558787
2015-09-30,294664.3603,12.59359222588484,-1.6610835781639466
2015-12-31,292397.0138,12.585867794083311,-0.7724431801529263
2016-03-31,288211.7554,12.5714507507511,-1.441704333221061
2016-06-30,289024.6309,12.574267191490549,0.28164407394477564
2016-09-30,287434.5824,12.568750573850247,-0.5516617640301646
2016-12-31,287167.633,12.56782141133729,-0.09291625129570491
2017-03-31,290077.3925,12.577903037048664,1.0081625711373832
2017-06-30,292502.163,12.586227340498501,0.83243034498377
2017-09-30,293210.1855,12.588644987477194,0.24176469786922894
2017-12-31,294798.9388,12.59404883956221,0.5403852085017036
2018-03-31,296525.1492,12.599887314058972,0.5838474496760782
2018-06-30,296244.3428,12.598939875215391,-0.09474388435801728
2018-09-30,299100.0582,12.608533439201771,0.9593563986380005
2018-12-31,298297.6267,12.605847014386711,-0.26864248150602066
2019-03-31,299236.7865,12.60899046705687,0.31434526701588084
